PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Popeye Jones,WAS,79,24.3,7,2.8,6.4,43.7,0.1,0.1,36.4,1.3,1.6,81.5,2.9,4.4,7.3,1.6,0.6,0.2,1.1,11.8
Zeljko Rebraca,DET,74,15.9,6.9,2.6,5.1,50.5,0,0,0,1.8,2.4,77.1,1.1,2.8,3.9,0.5,0.4,1,1.1,8.6
Tony Battie,BOS,74,24.6,6.9,2.9,5.3,54.1,0,0,0,1.2,1.8,67.7,2.5,4,6.5,0.5,0.8,0.9,0.7,11.9
Robert Horry,LAL,81,26.4,6.8,2.3,5.7,39.8,0.9,2.5,37.4,1.3,1.7,78.3,1.6,4.3,5.9,2.9,1,1.1,1.1,12.7
Austin Croshere,IND,76,16.9,6.8,2.4,5.9,41.3,0.6,1.9,33.8,1.3,1.5,85.1,1,2.9,3.9,1,0.3,0.4,0.9,7.8
Eddy Curry,CHI,72,16,6.7,2.6,5.2,50.1,0,0,0,1.5,2.2,65.6,1.5,2.2,3.8,0.3,0.2,0.7,1,7.5
Scott Padgett,UTA,75,17.2,6.7,2.5,5.3,47.6,0.7,1.5,43.4,1,1.4,73.5,1.5,2.3,3.8,1.1,0.6,0.2,0.9,8.3
Jacque Vaughn,ATL,82,22.6,6.6,2.5,5.3,47,0.3,0.7,44.4,1.3,1.5,82.5,0.2,1.8,2,4.3,0.8,0,1.4,9.2
Kelvin Cato,HOU,75,25.6,6.6,2.5,4.3,58.3,0,0,0,1.5,2.6,58.2,2.3,4.7,7,0.4,0.5,1.3,0.7,12.2
Jarron Collins,UTA,70,20.6,6.4,2.3,4.9,46.1,0,0,0,1.9,2.6,74,2,2.3,4.2,0.8,0.4,0.3,0.8,8.1
Eric Williams,BOS,74,23.6,6.4,1.9,5.2,37.4,0.3,1.2,27.9,2.2,3,73.1,0.8,2.2,3,1.5,1,0.1,1.3,6.6
Scot Pollard,SAC,80,23.5,6.4,2.5,4.5,55,0,0,0,1.4,2.1,69.3,2.4,4.7,7.1,0.7,0.9,1,0.9,12.4
Tyrone Nesby,WAS,70,21.4,6.3,2.6,6,43.5,0.2,0.7,27.7,0.9,1.3,68.8,1.5,3,4.5,1.3,0.9,0.3,0.7,8.8
Tyson Chandler,CHI,71,19.6,6.1,2.1,4.3,49.7,0,0,0,1.9,3.1,60.4,1.6,3.2,4.8,0.8,0.4,1.3,1.4,8.6
Shawn Kemp,POR,75,16.5,6.1,2.3,5.4,43,0,0.1,0,1.4,1.7,79.4,1.2,2.6,3.8,0.7,0.6,0.4,1.1,7.1
Troy Murphy,GSW,82,17.7,5.9,2.2,5.2,42.1,0,0.1,33.3,1.5,1.9,77.6,1.2,2.7,3.9,0.9,0.4,0.3,1,6.9
Lindsey Hunter,LAL,82,19.7,5.8,2.3,6,38.2,1,2.5,38,0.2,0.5,50,0.2,1.3,1.5,1.6,0.8,0.2,0.7,5.2
Kevin Ollie,IND,81,21.3,5.7,1.7,4.4,38.8,0,0,50,2.3,2.8,82.4,0.3,2,2.3,3.6,0.8,0,1.3,7.9
Jeff Foster,IND,82,21.8,5.7,2.2,4.8,44.9,0,0.2,13.3,1.4,2.2,61,2.5,4.3,6.8,0.9,0.9,0.5,1,10.2
Terry Porter,SAS,72,17.9,5.5,1.9,4.5,42.4,0.8,2,41.5,0.9,1.2,81.9,0.2,2.1,2.3,2.8,0.6,0.2,1.2,7.6
Tony Massenburg,MEM,73,17.1,5.5,2.2,4.8,45.6,0,0,100,1.2,1.6,71.8,1.4,3.1,4.4,0.4,0.4,0.4,0.9,7.2
Jahidi White,WAS,71,19,5.4,2.1,3.9,53.8,0,0,0,1.2,2.2,53.9,2.2,4,6.3,0.2,0.4,1.1,0.9,9.6
Shandon Anderson,NYK,82,19.5,5,1.8,4.5,39.9,0.5,1.7,27.7,0.9,1.3,69.2,0.7,2.3,3,0.9,0.6,0.2,1.2,5.4
Ryan Bowen,DEN,75,22.5,4.9,2,4.1,47.9,0,0.2,8.3,0.9,1.2,75,1.8,2.2,4,0.7,1,0.5,0.5,8.1
